ひらがな	キー	左フラグ	右フラグ	逆シフトフラグ
あ	s	1	0	0
い	l	0	0	0
う	a	0	0	0
え	w	1	0	0
お	j	0	1	0
か	w	0	0	0
き	k	0	0	0
く	i	0	0	0
け	f	0	0	0
こ	r	0	0	0
さ	t	0	0	0
し	s	0	0	0
す	c	0	0	0
せ	g	0	0	0
そ	m	0	0	0
た	e	0	0	0
ち	u	0	0	0
つ	o	0	0	0
て	d	0	0	0
と	j	0	0	0
な	d	1	0	0
に	u	0	1	0
ぬ	n	0	1	0
ね	,	0	0	0
の	k	0	1	0
は	h	0	0	0
ひ	x	0	0	0
ふ	v	0	0	0
へ	b	0	0	0
ほ	.	0	0	0
ま	o	0	1	0
み	h	0	1	0
む	,	0	1	0
め	n	0	0	0
も	g	1	0	0
や	v	1	0	0
ゆ	m	0	1	0
よ	y	0	1	0
ら	y	0	0	0
り	e	1	0	0
る	i	0	1	0
れ	t	1	0	0
ろ	c	1	0	0
わ	.	0	1	0
を	a	1	0	0
ん	;	0	0	0
が	w	0	1	1
ぎ	k	1	0	1
ぐ	i	1	0	1
げ	f	0	1	1
ご	r	0	1	1
ざ	t	0	1	1
じ	s	0	1	1
ず	c	0	1	1
ぜ	g	0	1	1
ぞ	m	1	0	1
だ	e	0	1	1
じ	s	0	1	1
づ	o	1	0	1
ぜ	g	0	1	1
ぞ	m	1	0	1
ば	h	1	0	1
び	x	0	1	1
ぶ	v	0	1	1
べ	b	0	1	1
ぼ	.	0	1	1
ぱ	y	1	0	1
ぴ	p	1	0	1
ぷ	n	1	0	1
ぺ	,	1	0	1
ぽ	l	1	0	1
ぁ	q	1	0	0
ぃ	b	1	0	0
ぅ	z	1	0	0
ぇ	p	0	1	0
ぉ	/	0	1	0
っ	;	0	1	0
ゃ	r	1	0	0
ゅ	f	1	0	0
ょ	l	0	1	0
ー	x	1	0	0
。	q	0	0	0
,	p	0	0	0
